q		ま
w		す
e		て
r		と
t		つ
y		さ
u		し
i		か
o		こ
p		き
a		も
s	ゃ
d	ゅ
f		う
g		ん
h		く
j		い
k	ょ
l	゛
;		お
z		を
x		っ
c		に
v		る
b		た
n		の
m		な
,		は
.		り
/		ー

まl	ぱ
すl	ず
てl	で
とl	ど
つl	づ
さl	ざ
しl	じ
かl	が
こl	ご
きl	ぎ
もl	ぽ
うl	ゔ
んl	べ
くl	ぐ
いl	ぺ
おl	ぞ
をl	ぜ
っl	ぴ
にl	ぶ
るl	ぢ
たl	だ
のl	げ
なl	び
はl	ば
りl	ぷ
ーl	ぼ

まs	ぱ
すs	ず
てs	で
とs	ど
つs	づ
さs	ざ
しs	しゃ
かs	が
こs	ご
きs	きゃ
もs	ぽ
うs	ゔ
んs	べ
くs	ぐ
いs	ぺ
おs	ぞ
をs	ぜ
っs	みゃ
にs	にゃ
るs	ちゃ
たs	だ
のs	げ
なs	ひゃ
はs	ば
りs	りゃ
ーs	ぼ

かd	よ
もd	や
うd	ら
んd	へ
くd	れ
いd	め
おd	そ
をd	せ
っd	みゅ
るd	ちゅ
のd	け
なd	ひゅ

てk	ゆ
もk	あ
うk	ろ
んk	わ
くk	え
いk	ね
おk	ぬ
っk	みょ
るk	ちょ
なk	ひょ
ーk	ほ

Q		ま
W		す
E		て
R		と
T		つ
Y		さ
U		し
I		か
O		こ
P		き
A	ぁ
S	ゃ
D	、
F	ぅ
G		ん
H	ぇ
J	ぃ
K	。
L	゛
: ぉ
Z		を
X	み
C	ふ
V	ち
B		た
N		の
M	ひ
<		は
>	む
?		−

まL	ぱ
すL	ず
てL	で
とL	ど
つL	づ
さL	ざ
しL	じ
かL	が
こL	ご
きL	ぎ
もL	ぽ
うL	ゔ
んL	べ
くL	ぐ
いL	ぺ
おL	ぞ
をL	ぜ
っL	ぴ
にL	ぶ
るL	ぢ
たL	だ
のL	げ
なL	び
はL	ば
りL	ぷ
ーL	ぼ

まS	ぱ
すS	ず
てS	で
とS	ど
つS	づ
さS	ざ
しS	しゃ
かS	が
こS	ご
きS	きゃ
もS	ぽ
うS	ゔ
んS	べ
くS	ぐ
いS	ぺ
おS	ぞ
をS	ぜ
っS	みゃ
にS	にゃ
るS	ちゃ
たS	だ
のS	げ
なS	ひゃ
はS	ば
りS	りゃ
ーS	ぼ
