q		ま
w		す
e		て
r		と
t		つ
y		さ
u		し
i		か
o		こ
p		き
a		も
s	ゃ
d	ゅ
f		う
g		ん
h		く
j		い
k	ょ
l	゛
;		お
z		を
x		っ
c		に
v		る
b		た
n		の
m		な
,		は
.		り
/		ー
すl	ず
すL	ず
てl	で
てL	で
とl	ど
とL	ど
つl	づ
つL	づ
さl	ざ
さL	ざ
しl	じ
しL	じ
かl	が
かL	が
こl	ご
こL	ご
きl	ぎ
きL	ぎ
もl	ぜ
もL	ぜ
うl	ゔ
うL	ゔ
んl	べ
んL	べ
くl	ぐ
くL	ぐ
いl	ぼ
いL	ぼ
おl	げ
おL	げ
をl	ぞ
をL	ぞ
るl	ぢ
るL	ぢ
たl	だ
たL	だ
のl	ぶ
のL	ぶ
なl	び
なL	び
はl	ば
はL	ば
すs	ず
すS	ず
てs	で
てS	で
とs	ど
とS	ど
つs	づ
つS	づ
さs	ざ
さS	ざ
しs	しゃ
しS	しゃ
かs	が
かS	が
こs	ご
こS	ご
きs	きゃ
きS	きゃ
もs	ぜ
もS	ぜ
うs	ゔ
うS	ゔ
んs	べ
んS	べ
くs	ぐ
くS	ぐ
いs	ぼ
いS	ぼ
おs	げ
おS	げ
をs	ぞ
をS	ぞ
っs	みゃ
っS	みゃ
にs	にゃ
にS	にゃ
るs	ちゃ
るS	ちゃ
たs	だ
たS	だ
のs	ぶ
のS	ぶ
なs	ひゃ
なS	ひゃ
はs	ば
はS	ば
りs	りゃ
りS	りゃ
かd	よ
こd	ね
もd	せ
うd	ろ
んd	へ
くd	れ
いd	ほ
おd	け
をd	そ
っd	みゅ
るd	ちゅ
たd	わ
のd	ふ
なd	ひゅ
はd	ぴ
すk	や
てk	ゆ
とk	め
もk	あ
うk	ら
んk	ぺ
くk	え
いk	ぽ
おk	ぬ
っk	みょ
るk	ちょ
たk	む
のk	ぷ
なk	ひょ
はk	ぱ
Q		ま
W		す
E		て
R		と
T		つ
Y		さ
U		し
I		か
O		こ
P		き
A	ぁ
S	ゃ
D	、
F	ぅ
G		ん
H	ぇ
J	ぃ
K	。
L	゛
:	ぉ
Z		を
X		み
C		に
V		ち
B		た
N		ふ
M		ひ
<		は
>		り
?		ー
