、	28750
。	23560
ぁ	681
あ	15658
ぃ	1201
い	74569
ぅ	36
う	59235
ヴ	83
ぇ	806
え	9211
ぉ	163
お	16377
か	39537
が	23074
き	20711
ぎ	2927
く	27579
ぐ	2422
け	11952
げ	4068
こ	24434
ご	4406
さ	15693
ざ	2565
し	35063
じ	11188
す	21000
ず	3173
せ	12513
ぜ	2360
そ	9878
ぞ	1793
た	33853
だ	13722
ち	8272
ぢ	78
っ	21418
つ	16984
づ	781
て	27725
で	21789
と	37984
ど	10627
な	27521
に	26493
ぬ	575
ね	4595
の	38367
は	24910
ば	6925
ぱ	1747
ひ	6826
び	2756
ぴ	527
ふ	5639
ぶ	5232
ぷ	1949
へ	2323
べ	2275
ぺ	482
ほ	6605
ぼ	1974
ぽ	1193
ま	19322
み	7822
む	3725
め	7755
も	17888
ゃ	1
や	6876
ゅ	22
ゆ	2174
ょ	2
よ	10960
ら	16103
り	15313
る	24368
れ	14594
ろ	6643
ゎ	0
わ	8665
を	15893
ん	58709
ー	11000
うぃ	0
うぇ	0
うぉ	0
きゃ	437
きゅ	1420
きょ	3443
ぎゃ	155
ぎゅ	60
ぎょ	1211
しぇ	0
しゃ	2925
しゅ	3740
しょ	6341
じぇ	0
じゃ	781
じゅ	2041
じょ	4319
ちぇ	0
ちゃ	737
ちゅ	1272
ちょ	2859
ぢゃ	0
ぢゅ	0
ぢょ	0
てぃ	0
でぃ	0
にゃ	16
にゅ	841
にょ	39
ひゃ	66
ひゅ	11
ひょ	826
びゃ	6
びゅ	83
びょ	184
ぴゃ	6
ぴゅ	94
ぴょ	105
ふぁ	0
ふぃ	0
ふぇ	0
ふぉ	0
みゃ	17
みゅ	66
みょ	75
りゃ	175
りゅ	501
りょ	1915
