q		し
w		と
e		の
r		た
t		す
y		り
u		る
i		か
o		に
p		ー
a		は
s	ゃ
d	ゅ
f		う
g		な
h		つ
j		ん
k	ょ
l	゛
;		い
z		れ
x		き
c		さ
v		あ
b		ら
n		く
m		っ
,		て
.		せ
/		こ
しl	じ
しL	じ
とl	ど
とL	ど
のl	げ
のL	げ
たl	だ
たL	だ
すl	ず
すL	ず
るl	ぢ
るL	ぢ
かl	が
かL	が
はl	ば
はL	ば
うl	ゔ
うL	ゔ
なl	ぶ
なL	ぶ
つl	づ
つL	づ
んl	ぞ
んL	ぞ
いl	ぼ
いL	ぼ
きl	ぎ
きL	ぎ
さl	ざ
さL	ざ
あl	べ
あL	べ
らl	び
らL	び
くl	ぐ
くL	ぐ
てl	で
てL	で
せl	ぜ
せL	ぜ
こl	ご
こL	ご
しs	しゃ
しS	しゃ
とs	ど
とS	ど
のs	げ
のS	げ
たs	だ
たS	だ
すs	ず
すS	ず
りs	りゃ
りS	りゃ
るs	ちゃ
るS	ちゃ
かs	が
かS	が
にs	にゃ
にS	にゃ
ーs	みゃ
ーS	みゃ
はs	ば
はS	ば
うs	ゔ
うS	ゔ
なs	ぶ
なS	ぶ
つs	づ
つS	づ
んs	ぞ
んS	ぞ
いs	ぼ
いS	ぼ
きs	きゃ
きS	きゃ
さs	ざ
さS	ざ
あs	べ
あS	べ
らs	ひゃ
らS	ひゃ
くs	ぐ
くS	ぐ
てs	で
てS	で
せs	ぜ
せS	ぜ
こs	ご
こS	ご
とd	ま
のd	ぬ
るd	ちゅ
かd	を
ーd	みゅ
はd	ぴ
うd	む
なd	ふ
つd	ゆ
んd	わ
いd	ほ
れd	え
あd	へ
らd	ひゅ
てd	よ
とk	ね
のk	け
るk	ちょ
ーk	みょ
はk	ぱ
なk	ぷ
んk	そ
いk	ぽ
さk	や
あk	ぺ
らk	ひょ
くk	め
っk	お
せk	ろ
こk	も
Q		し
W		と
E		の
R		た
T		す
Y		り
U		ち
I		か
O		に
P		み
A		は
S	ゃ
D	、
F	ぅ
G		ふ
H		つ
J		ん
K	。
L	゛
:	ぃ
Z	ぇ
X		き
C		さ
V	ぁ
B		ひ
N		く
M	ぉ
<		て
>		せ
?		こ
